71	51	52	23	84
00	43	68	00	63
03	69	06	**	38
90	02	92	26	02
25	**	64	66	27
66	45	44	44	48
06	24	77	83	93
27	97	68	90	21
65	75	17	30	07
25	88	44	09	94
44	96	50	36	50
17	83	43	84	64
74	13	57	**	99
15	56	15	82	98
42	05	54	27	15
49	20	03	96	82
47	75	82	52	79
58	15	12	58	87
77	08	66	93	24
47	65	23	94	33
66	72	84	05	85
69	72	64	52	43
20	15	06	68	32
47	93	15	52	68
49	69	36	33	46
90	37	56	70	49
05	57	29	72	73
99	07	75	**	19
90	07	40	30	46
03	03	28	67	87
98	14	62	06	30
44	26	42	29	05
44	52	01	41	40
**	09	04	29	76
56	79	44	93	56
09	57	17	33	17
28	28	09	60	36
34	53	16	99	21
96	77	31	31	42
72	48	25	58	08
03	48	73	49	17
70	95	31	20	04
68	20	73	39	89
67	04	72	36	**
**	**	**	**	**
16	71	46	**	**
**	**	**	**	**
**	**	**	**	**
**	**	**	**	**
34	67	54	58	91
82	10	39	84	08
88	08	91	05	43
22	55	95	51	18
78	99	74	84	81
94	25	54	70	55
70	47	08	24	39
37	23	29	**	33
21	28	05	32	31
72	14	92	22	95
80	62	74	34	98
51	33	38	98	15
53	56	30	97	50
47	16	08	02	71
**	60	53	62	20
66	74	41	07	95
44	48	38	56	36
86	15	58	81	83
43	99	62	22	16
77	73	59	75	78
30	01	89	61	75
17	91	60	05	90
76	74	19	27	27
34	25	09	51	02
34	90	74	29	29
02	37	63	54	91
17	97	26	74	70
27	08	99	28	44
55	59	83	96	21
**	12	42	15	59
62	56	68	12	81
92	64	78	85	42
43	93	14	58	42
05	51	61	65	40
28	60	71	81	53
50	96	64	80	84
95	**	52	40	37
61	16	18	14	97
14	18	55	07	52
19	22	10	19	49
94	07	60	68	43
53	23	12	96	77
46	32	09	13	67
53	71	46	55	61
**	**	**	**	**
**	**	**	**	**
**	**	21	34	79
33	44	98	45	16
33	31	13	75	73
59	11	51	48	22
83	26	12	19	63
44	19	37	79	59
06	21	85	90	30
32	01	44	99	58
25	98	28	44	14
35	65	89	32	70
35	25	25	24	87
90	28	33	31	06
27	50	43	70	82
99	54	63	99	**
48	61	98	41	10
49	83	86	67	82
71	05	08	24	73
95	54	10	74	36
21	78	25	18	**
12	14	40	25	71
20	56	40	91	73
69	96	29	44	54
17	25	78	36	26
22	38	62	33	96
39	73	46	11	47
25	61	20	51	15
62	80	23	36	58
93	98	75	75	97
18	67	63	81	77
07	95	94	51	85
58	50	01	94	**
12	38	49	62	20
49	64	69	01	69
89	40	53	72	24
18	90	73	59	39
83	43	31	05	04
04	15	39	80	18
68	82	09	53	53
28	12	07	04	73
50	34	71	57	78
60	57	78	58	80
01	32	39	41	**
32	17	**	24	71
87	40	83	96	94
**	**	01	70	63
38	48	19	57	51
17	20	46	59	60
98	76	56	64	36
38	75	94	21	26
76	63	90	52	13
28	21	86	43	87
31	55	34	74	20
06	54	96	81	14
02	83	48	23	72
