68	57	87	30	94	88
49	98	91	13	27	76
72	03	20	59	03	74
**	60	47	04	66	80
34	71	64	22	25	**
38	66	67	05	13	44
56	31	20	27	63	81
12	85	29	13	96	79
38	37	82	18	88	71
67	59	30	24	13	94
47	11	15	92	00	44
23	11	94	87	46	87
38	90	80	**	25	40
95	46	57	79	23	57
28	34	21	73	60	84
92	47	91	30	10	45
03	08	90	67	70	14
59	60	21	78	64	39
46	21	19	65	06	34
56	32	71	21	98	97
04	18	62	53	36	23
44	86	05	52	15	53
13	86	45	42	88	35
15	78	54	93	47	79
72	18	27	88	43	57
52	95	93	61	09	41
78	83	55	74	11	44
70	67	32	19	43	65
97	62	46	97	56	24
83	20	36	43	03	22
89	**	86	81	78	86
02	92	29	42	22	54
48	82	95	67	25	14
73	11	43	**	98	61
93	78	73	00	53	61
19	02	11	81	60	02
05	**	25	04	04	55
39	00	04	88	77	03
26	71	31	10	60	29
25	23	73	61	74	46
58	53	48	05	33	76
85	41	47	69	91	69
14	63	81	57	51	97
57	90	96	07	**	**
**	**	**	**	**	**
73	77	90	41	97	87
35	46	14	77	05	71
14	30	06	28	21	24
13	33	40	13	69	98
31	81	40	60	29	65
36	53	59	21	09	84
10	14	35	16	46	21
34	59	06	26	86	97
68	50	27	82	50	12
59	03	39	24	86	25
77	95	57	08	03	03
82	31	17	35	09	65
52	76	69	78	64	38
08	28	25	48	43	32
10	77	25	05	13	03
12	44	38	87	91	08
70	77	75	51	45	04
69	20	11	88	12	61
55	**	06	36	40	43
90	02	91	19	09	51
**	**	**	**	**	**
**	47	82	80	34	98
55	50	83	19	51	88
97	53	08	60	54	49
86	52	38	51	34	30
18	50	75	53	84	68
17	70	86	26	60	64
82	52	23	96	32	73
54	30	04	11	39	06
64	12	30	48	75	78
95	50	93	29	37	75
58	23	56	61	72	51
17	55	62	19	14	93
84	87	17	39	20	**
55	33	63	77	13	13
57	74	56	20	64	14
51	58	87	12	27	85
68	14	76	90	82	10
14	53	26	88	27	60
65	17	12	04	91	28
69	90	98	18	68	14
84	51	31	73	97	86
84	15	02	36	30	80
47	86	90	76	16	64
78	83	31	91	09	26
73	93	49	37	83	42
**	**	**	**	**	**
**	**	**	20	01	94
40	12	18	22	99	28
16	60	09	12	79	78
93	70	33	69	73	07
33	79	94	43	26	73
85	13	30	05	14	54
56	05	83	08	30	44
38	73	91	22	27	22
08	75	26	09	50	44
07	05	06	42	25	21
55	**	24	82	16	52
51	22	09	95	19	62
64	54	64	43	53	15
08	12	61	79	43	52
46	81	33	33	24	28
19	23	30	04	87	75
72	69	71	22	71	29
88	86	70	95	49	05
43	69	47	40	75	47
**	57	18	12	83	74
00	94	97	27	92	28
62	64	50	88	47	66
95	07	88	13	27	95
11	86	98	94	25	93
08	02	31	69	25	97
85	02	23	26	91	39
79	38	78	40	84	54
99	36	61	81	57	11
99	32	59	86	11	15
00	67	31	39	31	80
67	36	10	09	47	52
61	30	34	43	73	31
08	43	62	50	48	82
88	06	50	35	90	49
28	31	24	62	96	46
84	08	58	36	25	56
88	49	22	99	70	84
33	29	34	66	20	71
05	25	02	14	84	73
68	61	04	04	66	94
28	38	00	73	93	06
57	02	03	37	91	75
56	35	68	56	01	**
51	81	85	91	12	67
59	23	73	53	41	81
58	99	44	31	38	91
74	16	93	89	29	94
08	67	88	65	86	38
27	79	64	39	09	53
59	47	87	40	58	10
**	**	**	**	**	**
**	88	07	27	84	20
10	04	83	60	29	07
78	29	41	06	48	63
48	34	89	28	71	63
77	72	64	17	16	76
17	02	60	87	20	89
47	97	13	82	00	38
15	49	76	61	99	60
63	04	42	12	31	38
51	10	96	57	66	23
81	09	51	**	51	59
42	72	**	76	28	14
13	34	46	37	44	27
50	42	84	70	03	29
89	05	66	50	32	77
56	26	04	35	92	67
71	23	12	62	15	81
86	20	39	87	81	17
30	73	81	12	**	75
39	75	40	65	14	74
68	45	95	21	62	27
12	36	37	09	25	90
52	91	40	03	46	61
27	48	13	16	82	91
06	49	04	25	39	29
76	14	20	51	98	17
**	46	**	77	89	68
95	89	61	74	34	03
91	29	81	13	10	29
81	96	96	26	54	23
77	95	52	41	65	51
03	88	37	77	64	42
40	72	81	81	70	51
12	16	09	94	85	80
12	93	56	00	49	64
21	79	48	30	52	85
66	94	70	13	28	89
13	17	50	46	96	09
