08	85	06	88	52	53	28
66	19	66	33	16	10	17
08	02	02	64	03	86	30
39	36	45	51	31	89	25
22	88	01	59	55	59	59
56	91	86	75	81	57	78
88	92	66	57	99	71	20
98	74	71	91	98	92	13
51	09	34	34	98	03	49
00	04	21	00	20	19	37
20	27	08	33	69	77	99
90	78	03	71	70	35	51
34	44	19	39	32	84	51
65	87	54	43	48	06	62
92	90	71	70	73	87	08
83	70	96	13	96	91	14
17	13	97	08	60	84	*
83	01	55	41	43	36	71
73	06	02	72	27	79	90
72	59	00	04	74	94	12
58	17	30	67	18	10	*
88	30	32	09	09	79	82
77	84	31	92	16	13	33
82	16	*	99	24	57	14
08	07	96	27	01	80	90
49	81	87	48	94	98	12
00	16	01	94	26	49	64
62	09	26	60	12	91	54
43	29	53	73	17	48	52
01	60	02	02	82	86	70
18	49	15	59	92	65	70
95	09	24	08	41	71	80
42	23	08	11	98	42	43
54	05	00	66	98	81	69
81	07	69	00	91	75	99
56	80	51	89	80	44	71
71	37	13	53	51	97	11
07	23	41	31	19	23	98
16	12	85	10	10	45	22
39	89	93	29	05	39	82
31	00	40	77	77	45	43
40	29	04	60	21	39	56
72	85	21	60	69	11	79
59	08	52	23	25	87	23
35	11	84	03	15	11	32
92	18	33	22	91	05	73
40	87	82	20	74	*	09
33	49	49	57	58	52	12
69	23	66	53	26	12	54
34	47	81	43	48	12	06
29	56	10	28	64	08	31
75	22	16	71	79	38	36
99	29	45	35	43	00	52
79	48	45	20	50	10	65
31	18	18	*	90	46	39
08	78	06	83	37	68	66
41	48	32	19	08	68	98
30	06	42	98	04	09	28
58	10	63	69	69	28	06
14	39	46	31	75	76	85
26	25	59	52	98	28	50
43	78	99	11	79	91	00
99	80	69	90	33	69	70
38	94	24	20	04	18	84
81	59	79	77	62	72	62
33	63	77	12	70	92	25
73	21	19	10	20	37	31
97	19	13	66	10	00	62
30	44	08	06	97	89	15
30	75	90	81	73	31	95
67	41	90	73	67	15	18
95	52	92	36	38	77	32
70	98	50	48	44	80	96
64	39	36	03	67	81	94
44	55	04	87	66	11	71
69	99	24	*	85	84	02
40	88	89	41	06	69	84
90	82	15	50	48	82	68
57	30	19	41	02	50	50
15	40	68	42	35	67	37
39	70	91	48	67	90	51
51	89	76	78	07	93	14
27	23	40	20	40	69	67
17	06	42	80	60	57	16
97	00	97	58	31	31	40
00	11	82	34	90	30	37
85	93	96	67	91	96	13
47	93	17	86	51	02	55
94	76	23	34	13	73	34
52	79	40	40	69	95	10
52	93	71	97	71	63	90
81	06	57	36	86	71	87
32	20	52	47	69	65	68
79	99	73	53	19	71	27
10	09	35	56	03	49	52
62	12	44	66	42	73	27
45	30	18	03	66	50	87
56	89	54	80	38	19	29
48	15	66	52	82	12	*
51	99	02	00	28	04	81
83	71	96	92	70	10	03
99	70	48	74	32	26	80
24	93	31	04	11	92	71
66	30	77	86	16	77	03
19	37	17	40	83	98	86
91	**	74	24	49	25	20
49	87	44	09	08	19	65
